,total_value
2017-05-18,1352790.411
2017-05-19,1352790.411
2017-05-22,1352790.411
2017-05-23,1352790.411
2017-05-24,1352790.411
2017-05-25,1352790.411
2017-05-26,1352790.411
2017-05-31,1352790.411
2017-06-01,1352790.411
2017-06-02,1352790.411
2017-06-05,1352790.411
2017-06-06,1352790.411
2017-06-07,1352790.411
2017-06-08,1352790.411
2017-06-09,1352790.411
2017-06-12,1347670.5990000002
2017-06-13,1353214.5990000002
2017-06-14,1343986.5990000002
2017-06-15,1344714.5990000002
2017-06-16,1340986.5990000002
2017-06-19,1349466.5990000002
2017-06-20,1347722.5990000002
2017-06-21,1354202.5990000002
2017-06-22,1350698.5990000002
2017-06-23,1354866.5990000002
2017-06-26,1365894.5990000002
2017-06-27,1368198.5990000002
2017-06-28,1360998.5990000002
2017-06-29,1366942.5990000002
2017-06-30,1368690.5990000002
2017-07-03,1370082.5990000002
2017-07-04,1364838.5990000002
2017-07-05,1374570.5990000002
2017-07-06,1376694.5990000002
2017-07-07,1378902.5990000002
2017-07-10,1376770.5990000002
2017-07-11,1372934.5990000002
2017-07-12,1370734.5990000002
2017-07-13,1378982.5990000002
2017-07-14,1380686.5990000002
2017-07-17,1362302.5990000002
2017-07-18,1366746.5990000002
2017-07-19,1384110.5990000002
2017-07-20,1389662.5990000002
2017-07-21,1386910.5990000002
2017-07-24,1391958.5990000002
2017-07-25,1389194.5990000002
2017-07-26,1390786.5990000002
2017-07-27,1391630.5990000002
2017-07-28,1393014.5990000002
2017-07-31,1400930.5990000002
2017-08-01,1408774.5990000002
2017-08-02,1405742.5990000002
2017-08-03,1400890.5990000002
2017-08-04,1396550.5990000002
2017-08-07,1403502.5990000002
2017-08-08,1404466.5990000002
2017-08-09,1401946.5990000002
2017-08-10,1396418.5990000002
2017-08-11,1375134.5990000002
2017-08-14,1372852.1830000002
2017-08-15,1372852.1830000002
2017-08-16,1372852.1830000002
2017-08-17,1372852.1830000002
2017-08-18,1372852.1830000002
2017-08-21,1372852.1830000002
2017-08-22,1372852.1830000002
2017-08-23,1372852.1830000002
2017-08-24,1372852.1830000002
2017-08-25,1372852.1830000002
2017-08-28,1382125.7310000001
2017-08-29,1383157.7310000001
2017-08-30,1382517.7310000001
2017-08-31,1381389.7310000001
2017-09-01,1383913.7310000001
2017-09-04,1388897.7310000001
2017-09-05,1390793.7310000001
2017-09-06,1391221.7310000001
2017-09-07,1383265.7310000001
2017-09-08,1383161.7310000001
2017-09-11,1387633.7310000001
2017-09-12,1388861.7310000001
2017-09-13,1390725.7310000001
2017-09-14,1385637.7310000001
2017-09-15,1378513.7310000001
2017-09-18,1382209.7310000001
2017-09-19,1379801.7310000001
2017-09-20,1383465.7310000001
2017-09-21,1380189.7310000001
2017-09-22,1378077.7310000001
2017-09-25,1373685.7310000001
2017-09-26,1374497.7310000001
2017-09-27,1375173.7310000001
2017-09-28,1372921.7310000001
2017-09-29,1376641.7310000001
2017-10-09,1386817.7310000001
2017-10-10,1390261.7310000001
2017-10-11,1392377.7310000001
2017-10-12,1391505.7310000001
2017-10-13,1393273.7310000001
2017-10-16,1388453.7310000001
2017-10-17,1385881.7310000001
2017-10-18,1389781.7310000001
2017-10-19,1385133.7310000001
2017-10-20,1388525.7310000001
2017-10-23,1389345.7310000001
2017-10-24,1392365.7310000001
2017-10-25,1395825.7310000001
2017-10-26,1400093.7310000001
2017-10-27,1403789.7310000001
2017-10-30,1393201.7310000001
2017-10-31,1394401.7310000001
2017-11-01,1395429.7310000001
2017-11-02,1390389.7310000001
2017-11-03,1385761.7310000001
2017-11-06,1392333.7310000001
2017-11-07,1402493.7310000001
2017-11-08,1403249.7310000001
2017-11-09,1408181.7310000001
2017-11-10,1410133.7310000001
2017-11-13,1416201.7310000001
2017-11-14,1408885.7310000001
2017-11-15,1398073.7310000001
2017-11-16,1396765.7310000001
2017-11-17,1390229.7310000001
